semsp_id,ufn,seine_id,species,package_id,fish_time_out,fish_time_dewar,fork_length_field,height_field,weight_field,analysis_planned,dissection_status,lice_qc_flag,qc_comments,date_processed,cwt,ad,weight,standard_length,fork_length,photo_number,comments_protocol,comments_fish_health_lab,dissection_protocol,lice_collection_protocol,lice_id_protocol,dissector,fish_lab_qc_data,fish_lab_qc_flag,fish_lab_flag_reason,fish_lab_qc_log
2015-05-12-D01-SO-1,U344,DE100N3,SO,NA,NA,NA,NA,NA,NA,SEMSP,dissected,N,NA,2015-10-30,none,present,10.3,NA,95,NA,No scales taken.,NA,full work-up 1,lab_fine_2015,lportner_fine,KI,LP,N,NA,NA
2015-05-12-D01-SO-2,U340,DE100N3,SO,NA,NA,NA,NA,NA,NA,SEMSP,dissected,N,NA,2015-10-30,none,present,11.7,NA,95,NA,NA,NA,full work-up 1,lab_fine_2015,lportner_fine,CK,LP,N,NA,NA
2015-05-12-D01-SO-3,U352,DE100N3,SO,NA,NA,NA,NA,NA,NA,SEMSP,dissected,N,NA,2015-10-30,none,present,8.7,NA,86,NA,NA,NA,full work-up 1,lab_fine_2015,lportner_fine,DS,LP,N,NA,NA
2015-05-12-D01-SO-4,U337,DE100N3,SO,NA,NA,NA,NA,NA,NA,SEMSP,dissected,N,NA,2015-10-30,none,present,10.6,NA,95,NA,One otolith,NA,full work-up 1,lab_fine_2015,lportner_fine,CK,LP,N,NA,NA
2015-05-12-D01-SO-5,U339,DE100N3,SO,NA,NA,NA,NA,NA,NA,SEMSP,dissected,N,NA,2015-10-30,none,present,7.2,NA,85,NA,Brain dropped into bare well,NA,full work-up 1,lab_fine_2015,lportner_fine,CK,LP,N,NA,NA
2015-05-12-D01-SO-6,U354,DE100N3,SO,NA,NA,NA,NA,NA,NA,SEMSP,dissected,N,NA,2015-10-30,none,present,10.9,NA,96,NA,NA,NA,full work-up 1,lab_fine_2015,lportner_fine,DS,LP,N,NA,NA
2015-05-12-D01-SO-7,U345,DE100N3,SO,NA,NA,NA,NA,NA,NA,SEMSP,dissected,N,NA,2015-10-30,none,present,11.9,NA,92,NA,Fork length approc. caudel fin gone,NA,full work-up 1,lab_fine_2015,lportner_fine,KI,LP,N,NA,NA
2015-05-12-D01-SO-8,U346,DE100N3,SO,NA,NA,NA,NA,NA,NA,SEMSP,dissected,N,NA,2015-10-30,none,present,11.4,NA,96,NA,NA,NA,full work-up 1,lab_fine_2015,lportner_fine,KI,LP,N,NA,NA
2015-05-12-D01-SO-9,U353,DE100N3,SO,NA,NA,NA,NA,NA,NA,SEMSP,dissected,N,NA,2015-10-30,none,present,11.7,NA,92,NA,NA,NA,full work-up 1,lab_fine_2015,lportner_fine,DS,LP,N,NA,NA
2015-05-12-D01-SO-10,U338,DE100N3,SO,NA,NA,NA,NA,NA,NA,SEMSP,dissected,N,NA,2015-10-30,none,present,14.6,NA,105,NA,NA,NA,full work-up 1,lab_fine_2015,lportner_fine,CK,LP,N,NA,NA
2015-05-12-D01-SO-11,NA,DE100N3,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-12-D01-SO-12,NA,DE100N3,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
