ufn,sample_type,sample_id,container_id,container_cell,sample_location,comments_sample,sample_status,sample_qc_flag,sample_flag_reason,sample_qc_log
U01,isotope,SIS1,BISCU1,1,BISCU1-1,NA,collected,N,NA,NA
U02,isotope,SIS4,BISCU1,3,BISCU1-3,NA,collected,N,NA,NA
U03,isotope,SIS6,BISCU1,5,BISCU1-5,NA,collected,N,NA,NA
U04,isotope,SIS9,BISCU1,7,BISCU1-7,NA,collected,N,NA,NA
U05,isotope,SIS10,BISCU1,9,BISCU1-9,NA,collected,N,NA,NA
U06,isotope,SIS11,BISCU1,21,BISCU1-21,NA,collected,N,NA,NA
U07,isotope,SIS17,BISSO1,1,BISSO1-1,NA,collected,N,NA,NA
U08,isotope,SIS18,BISCU1,23,BISCU1-23,NA,collected,N,NA,NA
U09,isotope,SIS19,BISCU1,25,BISCU1-25,NA,collected,N,NA,NA
U10,isotope,SIS20,BISSO1,9,BISSO1-9,NA,collected,N,NA,NA
U11,isotope,SIS2,BISCU1,12,BISCU1-12,NA,collected,N,NA,NA
U12,isotope,SIS3,BISCU1,14,BISCU1-14,NA,collected,N,NA,NA
U13,isotope,SIS5,BISCU1,16,BISCU1-16,NA,collected,N,NA,NA
U14,isotope,SIS7,BISCU1,18,BISCU1-18,NA,collected,N,NA,NA
U15,isotope,SIS8,BISCU1,20,BISCU1-20,NA,collected,N,NA,NA
U16,isotope,SIS12,BISSO1,3,BISSO1-3,NA,collected,N,NA,NA
U17,isotope,SIS21,BISSO1,12,BISSO1-12,NA,collected,N,NA,NA
U18,isotope,SIS32,BISCU1,38,BISCU1-38,NA,collected,N,NA,NA
U19,isotope,SIS40,BISSO1,34,BISSO1-34,NA,collected,N,NA,NA
U20,isotope,SIS63,BISSO1,89,BISSO1-89,NA,collected,N,NA,NA
U21,isotope,SIS13,BISSO1,7,BISSO1-7,NA,collected,N,NA,NA
U22,isotope,SIS14,BISCU1,27,BISCU1-27,NA,collected,N,NA,NA
U23,isotope,SIS22,BISCU1,29,BISCU1-29,NA,collected,N,NA,NA
U24,isotope,SIS23,BISCU1,34,BISCU1-34,NA,collected,N,NA,NA
U25,isotope,SIS24,BISSO1,18,BISSO1-18,NA,collected,N,NA,NA
U26,isotope,SIS33,BISSO1,25,BISSO1-25,NA,collected,N,NA,NA
U27,isotope,SIS34,BISSO1,32,BISSO1-32,NA,collected,N,NA,NA
U28,isotope,SIS41,BISSO1,38,BISSO1-38,NA,collected,N,NA,NA
U29,isotope,SIS42,BISSO1,43,BISSO1-43,NA,collected,N,NA,NA
U30,isotope,SIS43,BISSO1,49,BISSO1-49,NA,collected,N,NA,NA
U31,isotope,SIS15,BISSO1,5,BISSO1-5,NA,collected,N,NA,NA
U32,isotope,SIS16,BISCO1,1,BISCO1-1,NA,collected,N,NA,NA
U33,isotope,SIS25,BISCO1,3,BISCO1-3,NA,collected,N,NA,NA
U34,isotope,SIS26,BISCO1,5,BISCO1-5,NA,collected,N,NA,NA
U35,isotope,SIS27,BISSO1,16,BISSO1-16,NA,collected,N,NA,NA
U36,isotope,SIS28,BISCU1,36,BISCU1-36,NA,collected,N,NA,NA
U37,isotope,SIS35,BISSO1,21,BISSO1-21,NA,collected,N,NA,NA
U38,isotope,SIS36,BISSO1,27,BISSO1-27,NA,collected,N,NA,NA
U39,isotope,SIS44,BISSO1,40,BISSO1-40,NA,collected,N,NA,NA
U40,isotope,SIS45,BISSO1,41,BISSO1-41,NA,collected,N,NA,NA
U41,isotope,SIS29,BISCU1,32,BISCU1-32,NA,collected,N,NA,NA
U42,isotope,SIS30,BISSO1,14,BISSO1-14,NA,collected,N,NA,NA
U43,isotope,SIS31,BISSO1,20,BISSO1-20,NA,collected,N,NA,NA
U44,isotope,SIS37,BISCU1,40,BISCU1-40,NA,collected,N,NA,NA
U45,isotope,SIS38,BISSO1,23,BISSO1-23,NA,collected,N,NA,NA
U46,isotope,SIS39,BISSO1,29,BISSO1-29,NA,collected,N,NA,NA
U47,isotope,SIS46,BISSO1,36,BISSO1-36,NA,collected,N,NA,NA
U48,isotope,SIS47,BISSO1,45,BISSO1-45,NA,collected,N,NA,NA
U49,isotope,SIS48,BISSO1,56,BISSO1-56,NA,collected,N,NA,NA
U50,isotope,SIS49,BISSO1,58,BISSO1-58,NA,collected,N,NA,NA
U51,isotope,SIS50,BISSO1,47,BISSO1-47,NA,collected,N,NA,NA
U52,isotope,SIS51,BISSO1,52,BISSO1-52,NA,collected,N,NA,NA
U53,isotope,SIS54,BISSO1,65,BISSO1-65,NA,collected,N,NA,NA
U54,isotope,SIS55,BISSO1,69,BISSO1-69,NA,collected,N,NA,NA
U55,isotope,SIS64,BISSO1,74,BISSO1-74,NA,collected,N,NA,NA
U56,isotope,SIS65,BISSO1,78,BISSO1-78,NA,collected,N,NA,NA
U57,isotope,SIS66,BISSO1,85,BISSO1-85,NA,collected,N,NA,NA
U58,isotope,SIS67,BISSO1,92,BISSO1-92,NA,collected,N,NA,NA
U59,isotope,SIS74,BISSO1,98,BISSO1-98,NA,collected,N,NA,NA
U60,isotope,SIS68,BISSO2,7,BISSO2-7,NA,collected,N,NA,NA
U61,isotope,SIS52,BISSO1,54,BISSO1-54,NA,collected,N,NA,NA
U62,isotope,SIS53,BISSO1,60,BISSO1-60,NA,collected,N,NA,NA
U63,isotope,SIS56,BISSO1,71,BISSO1-71,NA,collected,N,NA,NA
U65,isotope,SIS70,BISSO1,81,BISSO1-81,NA,collected,N,NA,NA
U66,isotope,SIS71,BISSO1,83,BISSO1-83,NA,collected,N,NA,NA
U68,isotope,SIS76,BISSO2,1,BISSO2-1,NA,collected,N,NA,NA
U69,isotope,SIS77,BISSO2,3,BISSO2-3,NA,collected,N,NA,NA
U70,isotope,SIS78,BISSO2,9,BISSO2-9,NA,collected,N,NA,NA
U71,isotope,SIS57,BISSO1,61,BISSO1-61,NA,collected,N,NA,NA
U72,isotope,SIS58,BISSO1,63,BISSO1-63,NA,collected,N,NA,NA
U73,isotope,SIS59,BISSO1,67,BISSO1-67,NA,collected,N,NA,NA
U74,isotope,SIS72,BISSO1,76,BISSO1-76,NA,collected,N,NA,NA
U75,isotope,SIS73,BISSO1,80,BISSO1-80,NA,collected,N,NA,NA
U76,isotope,SIS79,BISSO1,87,BISSO1-87,NA,collected,N,NA,NA
U77,isotope,SIS80,BISSO1,96,BISSO1-96,NA,collected,N,NA,NA
U78,isotope,SIS81,BISSO2,5,BISSO2-5,NA,collected,N,NA,NA
U79,isotope,SIS82,BISSO2,12,BISSO2-12,NA,collected,N,NA,NA
U80,isotope,SIS83,BISSO2,21,BISSO2-21,NA,collected,N,NA,NA
U81,isotope,SIS84,BISSO1,100,BISSO1-100,NA,collected,N,NA,NA
U82,isotope,SIS87,BISSO2,25,BISSO2-25,NA,collected,N,NA,NA
U83,isotope,SIS88,BISSO2,32,BISSO2-32,NA,collected,N,NA,NA
U84,isotope,SIS89,BISSO2,34,BISSO2-34,NA,collected,N,NA,NA
U85,isotope,SIS90,BISSO2,40,BISSO2-40,NA,collected,N,NA,NA
U86,isotope,SIS99,BISSO2,43,BISSO2-43,NA,collected,N,NA,NA
U87,isotope,SIS100,BISSO2,45,BISSO2-45,NA,collected,N,NA,NA
U88,isotope,SIS101,BISSO2,47,BISSO2-47,NA,collected,N,NA,NA
U89,isotope,SIS102,BISSO2,52,BISSO2-52,NA,collected,N,NA,NA
U90,isotope,SIS103,BISSO2,56,BISSO2-56,NA,collected,N,NA,NA
U91,isotope,SIS85,BISSO2,16,BISSO2-16,NA,collected,N,NA,NA
U92,isotope,SIS86,BISSO2,20,BISSO2-20,NA,collected,N,NA,NA
U93,isotope,SIS91,BISSO2,27,BISSO2-27,NA,collected,N,NA,NA
U94,isotope,SIS92,BISSO2,29,BISSO2-29,NA,collected,N,NA,NA
U96,isotope,SIS94,BISSO2,36,BISSO2-36,NA,collected,N,NA,NA
U97,isotope,SIS95,BISSO2,38,BISSO2-38,NA,collected,N,NA,NA
U98,isotope,SIS96,BISSO2,41,BISSO2-41,NA,collected,N,NA,NA
U99,isotope,SIS123,BISSO2,89,BISSO2-89,NA,collected,N,NA,NA
U101,isotope,SIS60,BISSO2,14,BISSO2-14,NA,collected,N,NA,NA
U102,isotope,SIS61,BISSO2,18,BISSO2-18,NA,collected,N,NA,NA
U103,isotope,SIS62,BISSO2,23,BISSO2-23,NA,collected,N,NA,NA
U104,isotope,SIS104,BISSO2,77,BISSO2-77,NA,collected,N,NA,NA
U105,isotope,SIS105,BISSO2,63,BISSO2-63,NA,collected,N,NA,NA
U106,isotope,SIS106,BISSO2,67,BISSO2-67,NA,collected,N,NA,NA
U107,isotope,SIS107,BISSO2,74,BISSO2-74,NA,collected,N,NA,NA
U108,isotope,SIS108,BISSO2,78,BISSO2-78,NA,collected,N,NA,NA
U109,isotope,SIS116,BISSO2,83,BISSO2-83,NA,collected,N,NA,NA
U110,isotope,SIS121,BISCU1,43,BISCU1-43,NA,collected,N,NA,NA
U111,isotope,SIS97,BISSO2,49,BISSO2-49,NA,collected,N,NA,NA
