package_id,seine_id,pkg_species,number_of_fish,field_liced_status,pkg_time_out,pkg_time_dewar,pkg_location,freezer_type,freezer_number,freezer_shelf,freezer_section,pkg_comments
DP4,DN1,PI,4,Y,11:42:00,12:35:00,Quadra Prep Lab,-80,3,2,L,NA
DP5,DN1,CU,4,Y,11:44:00,12:35:00,Quadra Prep Lab,-80,3,2,L-M,NA
DP9,DN3,SO,10,Y,09:24:00,10:18:00,Quadra Prep Lab,-80,3,4,R,NA
DP10,DN3,SO,10,N,10:23:00,10:43:00,Quadra Prep Lab,-80,3,4,R,NA
DP11,DN3,SO,10,N,10:45:00,11:04:00,Quadra Prep Lab,-80,3,4,R,NA
DP12,DN3,PI,2,N,11:02:00,11:30:00,Quadra Prep Lab,-80,3,2,L,NA
DP13,DN3,CU,10,N,11:02:00,11:28:00,Quadra Prep Lab,-80,3,2,L-M,NA
DP14,DN3,CO,4,N,11:02:00,11:31:00,Quadra Prep Lab,-80,3,2,M,NA
DP17,DN5,SO,10,Y,NA,NA,Quadra Prep Lab,-80,3,4,R,NA
DP18,DN5,SO,10,N,12:10:00,12:31:00,Quadra Prep Lab,-80,3,4,R,NA
DP19,DN5,SO,10,N,12:26:00,12:50:00,Quadra Prep Lab,-80,3,4,R,NA
DP22,DN5,CO,5,N,11:36:00,12:55:00,Quadra Prep Lab,-80,3,2,M,NA
DP23,DN5,HE,1,N,12:43:00,12:56:00,Quadra Prep Lab,-80,3,2,R-M,NA
DP25,DN7,SO,8,Y,NA,NA,Quadra Prep Lab,-80,3,4,R,NA
DP28,DN7,PI,1,N,12:57:00,13:06:00,Quadra Prep Lab,-80,3,2,L,NA
DP29,DN7,CU,10,N,12:46:00,13:01:00,Quadra Prep Lab,-80,3,2,L-M,NA
DP31,DN7,HE,1,N,12:55:00,13:05:00,Quadra Prep Lab,-80,3,2,R-M,NA
DP36,DN9,PI,3,N,12:23:00,12:46:00,Quadra Prep Lab,-80,3,2,L,NA
DP37,DN9,CU,10,N,12:23:00,12:50:00,Quadra Prep Lab,-80,3,2,L-M,NA
DP38,DN9,CO,4,N,12:18:00,12:45:00,Quadra Prep Lab,-80,3,2,M,NA
DP41,DN11,SO,10,Y,NA,NA,Quadra Prep Lab,-80,3,4,R,NA
DP42,DN11,SO,1,N,10:58:00,11:09:00,Quadra Prep Lab,-80,3,4,R,NA
DP45,DN11,CU,10,N,11:00:00,11:19:00,Quadra Prep Lab,-80,3,2,L-M,NA
DP47,DN11,HE,1,N,11:06:00,11:20:00,Quadra Prep Lab,-80,3,2,R-M,NA
DP49,DN13,SO,10,Y,NA,NA,Quadra Prep Lab,-80,3,4,R,NA
DP50,DN13,SO,10,N,12:19:00,12:38:00,Quadra Prep Lab,-80,3,4,R,NA
DP51,DN13,SO,10,N,12:36:00,12:54:00,Quadra Prep Lab,-80,3,4,R,NA
DP52,DN13,PI,10,N,13:10:00,13:24:00,Quadra Prep Lab,-80,3,2,L,Time out of water for pink estimated
DP53,DN13,CU,10,N,12:50:00,13:05:00,Quadra Prep Lab,-80,3,2,L-M,NA
DP55,DN13,HE,3,N,13:06:00,13:24:00,Quadra Prep Lab,-80,3,2,R-M,NA
DP57,DN15,SO,10,Y,NA,NA,Quadra Prep Lab,-80,3,4,R,NA
DP58,DN15,SO,10,N,08:50:00,09:05:00,Quadra Prep Lab,-80,3,4,R,NA
DP59,DN15,SO,10,N,09:06:00,09:18:00,Quadra Prep Lab,-80,3,4,R,NA
DP60,DN15,PI,5,N,09:23:00,09:52:00,Quadra Prep Lab,-80,3,2,L,NA
DP61,DN15,CU,10,N,09:20:00,09:37:00,Quadra Prep Lab,-80,3,2,L-M,NA
DP63,DN15,HE,3,N,09:30:00,09:52:00,Quadra Prep Lab,-80,3,2,R-M,NA
DP65,DN17,SO,10,Y,NA,NA,Quadra Prep Lab,-80,3,4,R,NA
DP66,DN17,SO,10,N,10:57:00,11:14:00,Quadra Prep Lab,-80,3,4,R,NA
DP67,DN17,SO,10,N,11:11:00,11:28:00,Quadra Prep Lab,-80,3,4,R,NA
DP69,DN17,CU,10,N,11:25:00,11:40:00,Quadra Prep Lab,-80,3,2,L-M,NA
DP71,DN17,HE,1,N,11:31:00,11:43:00,Quadra Prep Lab,-80,3,2,R-M,NA
DP73,DN19,SO,10,Y,NA,NA,Quadra Prep Lab,-80,3,4,R,NA
DP74,DN19,SO,10,N,10:07:00,10:26:00,Quadra Prep Lab,-80,3,4,R,NA
DP75,DN19,SO,2,N,10:22:00,10:33:00,Quadra Prep Lab,-80,3,4,R,NA
DP76,DN19,PI,2,N,10:35:00,10:53:00,Quadra Prep Lab,-80,3,2,L,NA
DP77,DN19,CU,10,N,10:33:00,10:47:00,Quadra Prep Lab,-80,3,2,L-M,NA
DP79,DN19,HE,2,N,10:42:00,10:55:00,Quadra Prep Lab,-80,3,2,R-M,NA
DP80,DN20,SO,8,Y,12:41:00,13:13:00,Quadra Prep Lab,-80,3,4,R,NA
DP81,DN21,SO,10,Y,NA,NA,Quadra Prep Lab,-80,3,4,R,NA
DP85,DN21,CU,10,N,08:22:00,08:41:00,Quadra Prep Lab,-80,3,2,L-M,NA
DP87,DN21,HE,1,N,08:28:00,08:41:00,Quadra Prep Lab,-80,3,2,R-M,NA
DP89,DN23,SO,3,Y,NA,NA,Quadra Prep Lab,-80,3,4,R,NA
DP92,DN23,PI,8,N,12:18:00,12:52:00,Quadra Prep Lab,-80,3,2,L,U10911 in dewar 12:24. U10912-U10913 in dewar 12:30. U10914 in dewar 12:36. U10915 in dewar 12:52
DP93,DN23,CU,10,N,11:53:00,12:03:00,Quadra Prep Lab,-80,3,2,L-M,NA
DP95,DN23,HE,2,N,13:00:00,13:18:00,Quadra Prep Lab,-80,3,2,R-M,U10941 in dewar 13:09. U10942 in dewar 13:18
DP97,DN25,SO,10,Y,NA,NA,Quadra Prep Lab,-80,3,4,R,NA
DP98,DN25,SO,10,N,10:07:00,10:26:00,Quadra Prep Lab,-80,3,4,R,NA
DP99,DN25,SO,10,N,10:17:00,10:36:00,Quadra Prep Lab,-80,3,4,R,NA
DP101,DN25,CU,10,N,10:32:00,10:58:00,Quadra Prep Lab,-80,3,2,L-M,NA
DP103,DN25,HE,3,N,10:42:00,10:58:00,Quadra Prep Lab,-80,3,2,R-M,NA
DP105,DN27,SO,10,Y,NA,NA,Quadra Prep Lab,-80,3,4,R,NA
DP106,DN27,SO,10,N,09:22:00,09:43:00,Quadra Prep Lab,-80,3,4,R,NA
DP107,DN27,SO,10,N,09:40:00,09:58:00,Quadra Prep Lab,-80,3,4,R,NA
DP109,DN27,CU,10,N,09:49:00,10:07:00,Quadra Prep Lab,-80,3,2,L-M,NA
DP113,DN29,SO,10,Y,NA,NA,Quadra Prep Lab,-80,3,4,R,NA
DP117,DN29,CU,10,N,08:23:00,08:37:00,Quadra Prep Lab,-80,3,2,L-M,NA
DP125,DN31,CU,10,Y,08:19:00,08:40:00,Quadra Prep Lab,-80,3,2,L-M,NA
DP129,DN33,SO,2,Y,NA,NA,Quadra Prep Lab,-20,1,NA,NA,NA
DP132,DN33,PI,1,N,09:02:00,09:07:00,Quadra Prep Lab,-80,3,2,L,NA
DP133,DN33,CU,10,Y,NA,NA,Quadra Prep Lab,-80,3,2,L-M,NA
DP141,DN35,CU,10,Y,NA,NA,Quadra Prep Lab,-80,3,2,L-M,NA
DP500,DN9,CK,1,N,12:29:00,12:48:00,Quadra Prep Lab,-80,3,2,R,NA
DP501,DN25,CK,2,N,10:39:00,10:58:00,Quadra Prep Lab,-80,3,2,R,NA
DP502,DN23,CK,1,N,12:02:00,12:14:00,Quadra Prep Lab,-80,3,2,R,NA
DP503,NA,CU,10,N,NA,NA,Quadra Prep Lab,-20,3,2,L-M,Trainer fish
