container_id,container_type,storage_medium,date_updated,current_location,storage_unit,storage_tier_1,storage_tier_2,shipping_container,date_shipped,shipping_destination,recipient,date_received,expecting_return,date_returned,comments,container_num
BCA12,carcass,frozen -20,2016-10-28,UBC Hunt Lab,-20 Freezer B1019,Carcass Group Box 1,NA,NA,2016-10-28,UBC Hunt Lab,NA,2016-10-28,NA,NA,NA,12
BCA13,carcass,frozen -20,2016-10-28,UBC Hunt Lab,-20 Freezer B1019,Carcass Group Box 1,NA,NA,2016-10-28,UBC Hunt Lab,NA,2016-10-28,NA,NA,NA,13
BCA14,carcass,frozen -20,2016-10-28,UBC Hunt Lab,-20 Freezer B1019,Carcass Group Box 1,NA,NA,2016-10-28,UBC Hunt Lab,NA,2016-10-28,NA,NA,NA,14
BCA16,carcass,frozen -20,2016-10-28,UBC Hunt Lab,-20 Freezer B1019,Carcass Group Box 1,NA,NA,2016-10-28,UBC Hunt Lab,NA,2016-10-28,NA,NA,NA,16
BCA17,carcass,frozen -20,2016-10-28,UBC Hunt Lab,-20 Freezer B1019,Carcass Group Box 1,NA,NA,2016-10-28,UBC Hunt Lab,NA,2016-10-28,NA,NA,NA,17
BCA26,carcass,frozen -20,2016-03-22,UBC Hunt Lab,-20 Freezer B1019,Carcass Group Box 1,NA,NA,2016-03-22,UBC Hunt Lab,NA,2016-03-22,NA,NA,NA,26
BCA28,carcass,frozen -20,2016-03-22,UBC Hunt Lab,-20 Freezer B1019,Carcass Group Box 1,NA,NA,2016-03-22,UBC Hunt Lab,NA,2016-03-22,NA,NA,NA,28
BCA30,carcass,frozen -20,2016-03-22,UBC Hunt Lab,-20 Freezer B1019,Carcass Group Box 1,NA,NA,2016-03-22,UBC Hunt Lab,NA,2016-03-22,NA,NA,NA,30
BCA31,carcass,frozen -20,2016-03-22,UBC Hunt Lab,-20 Freezer B1019,Carcass Group Box 1,NA,NA,2016-03-22,UBC Hunt Lab,NA,2016-03-22,NA,NA,NA,31
BCA32,carcass,frozen -20,2016-03-22,UBC Hunt Lab,-20 Freezer B1019,Carcass Group Box 1,NA,NA,2016-03-22,UBC Hunt Lab,NA,2016-03-22,NA,NA,NA,32
BCA33,carcass,frozen -20,2016-03-22,UBC Hunt Lab,-20 Freezer B1019,Carcass Group Box 1,NA,NA,2016-03-22,UBC Hunt Lab,NA,2016-03-22,NA,NA,NA,33
BCA34,carcass,frozen -20,2016-03-22,UBC Hunt Lab,-20 Freezer B1019,Carcass Group Box 1,NA,NA,2016-03-22,UBC Hunt Lab,NA,2016-03-22,NA,NA,NA,34
BCA35,carcass,frozen -20,2016-03-22,UBC Hunt Lab,-20 Freezer B1019,Carcass Group Box 1,NA,NA,2016-03-22,UBC Hunt Lab,NA,2016-03-22,NA,NA,NA,35
BCA36,carcass,frozen -20,2016-03-22,UBC Hunt Lab,-20 Freezer B1019,Carcass Group Box 1,NA,NA,2016-03-22,UBC Hunt Lab,NA,2016-03-22,NA,NA,NA,36
BCA37,carcass,frozen -20,2016-03-22,UBC Hunt Lab,-20 Freezer B1019,Carcass Group Box 1,NA,NA,2016-03-22,UBC Hunt Lab,NA,2016-03-22,NA,NA,NA,37
BCA38,carcass,frozen -20,2016-03-22,UBC Hunt Lab,-20 Freezer B1019,Carcass Group Box 1,NA,NA,2016-03-22,UBC Hunt Lab,NA,2016-03-22,NA,NA,NA,38
BCA39,carcass,frozen -20,2016-03-22,UBC Hunt Lab,-20 Freezer B1019,Carcass Group Box 1,NA,NA,2016-03-22,UBC Hunt Lab,NA,2016-03-22,NA,NA,NA,39
BCA9,carcass,frozen -20,2016-10-28,UBC Hunt Lab,-20 Freezer B1019,Carcass Group Box 1,NA,NA,2016-10-28,UBC Hunt Lab,NA,2016-10-28,NA,NA,NA,9
BCA11A,carcass,frozen -20,NA,UBC Hunt Lab,-20 Freezer B1019,Carcass Group Box 2,NA,NA,NA,NA,NA,NA,NA,NA,Fish dissected 2015 to 2016-02-24,11
BCA12A,carcass,frozen -20,NA,UBC Hunt Lab,-20 Freezer B1019,Carcass Group Box 2,NA,NA,NA,NA,NA,NA,NA,NA,Fish dissected 2015 to 2016-02-24,12
BCA16A,carcass,frozen -20,NA,UBC Hunt Lab,-20 Freezer B1019,Carcass Group Box 2,NA,NA,NA,NA,NA,NA,NA,NA,Fish dissected 2015 to 2016-02-24,16
BCA17A,carcass,frozen -20,NA,UBC Hunt Lab,-20 Freezer B1019,Carcass Group Box 2,NA,NA,NA,NA,NA,NA,NA,NA,Fish dissected 2015 to 2016-02-24,17
BCA19A,carcass,frozen -20,NA,UBC Hunt Lab,-20 Freezer B1019,Carcass Group Box 2,NA,NA,NA,NA,NA,NA,NA,NA,Fish dissected 2015 to 2016-02-24,19
BCA20A,carcass,frozen -20,NA,UBC Hunt Lab,-20 Freezer B1019,Carcass Group Box 2,NA,NA,NA,NA,NA,NA,NA,NA,Fish dissected 2015 to 2016-02-24,20
BCA22A,carcass,frozen -20,NA,UBC Hunt Lab,-20 Freezer B1019,Carcass Group Box 2,NA,NA,NA,NA,NA,NA,NA,NA,Fish dissected 2015 to 2016-02-24,22
BCA23A,carcass,frozen -20,NA,UBC Hunt Lab,-20 Freezer B1019,Carcass Group Box 2,NA,NA,NA,NA,NA,NA,NA,NA,Fish dissected 2015 to 2016-02-24,23
BCA25,carcass,frozen -20,2016-03-22,UBC Hunt Lab,-20 Freezer B1019,Carcass Group Box 2,NA,NA,2016-03-22,UBC Hunt Lab,NA,2016-03-22,NA,NA,NA,25
BCA2A,carcass,frozen -20,NA,UBC Hunt Lab,-20 Freezer B1019,Carcass Group Box 2,NA,NA,NA,NA,NA,NA,NA,NA,Fish dissected 2015 to 2016-02-24,2
BCA4A,carcass,frozen -20,NA,UBC Hunt Lab,-20 Freezer B1019,Carcass Group Box 2,NA,NA,NA,NA,NA,NA,NA,NA,Fish dissected 2015 to 2016-02-24,4
BCA7A,carcass,frozen -20,NA,UBC Hunt Lab,-20 Freezer B1019,Carcass Group Box 2,NA,NA,NA,NA,NA,NA,NA,NA,Fish dissected 2015 to 2016-02-24,7
BCA11,carcass,frozen -20,2016-10-28,UBC Hunt Lab,-20 Freezer B1019,Carcass Group Box 3,NA,NA,2016-10-28,UBC Hunt Lab,NA,2016-10-28,NA,NA,NA,11
BCA15,carcass,frozen -20,2016-10-28,UBC Hunt Lab,-20 Freezer B1019,Carcass Group Box 3,NA,NA,2016-10-28,UBC Hunt Lab,NA,2016-10-28,NA,NA,NA,15
BCA18,carcass,frozen -20,2016-10-28,UBC Hunt Lab,-20 Freezer B1019,Carcass Group Box 3,NA,NA,2016-10-28,UBC Hunt Lab,NA,2016-10-28,NA,NA,NA,18
BCA25A,carcass,frozen -20,NA,UBC Hunt Lab,-20 Freezer B1019,Carcass Group Box 3,NA,NA,NA,NA,NA,NA,NA,NA,Fish dissected 2015 to 2016-02-24,25
BCA6,carcass,frozen -20,2016-10-28,UBC Hunt Lab,-20 Freezer B1019,Carcass Group Box 3,NA,NA,2016-10-28,UBC Hunt Lab,NA,2016-10-28,NA,NA,NA,6
BCA8,carcass,frozen -20,2016-10-28,UBC Hunt Lab,-20 Freezer B1019,Carcass Group Box 3,NA,NA,2016-10-28,UBC Hunt Lab,NA,2016-10-28,NA,NA,NA,8
BCA8A,carcass,frozen -20,NA,UBC Hunt Lab,-20 Freezer B1019,Carcass Group Box 3,NA,NA,NA,NA,NA,NA,NA,NA,Fish dissected 2015 to 2016-02-24,8
BCA10A,carcass,frozen -20,NA,UBC Hunt Lab,-20 Freezer B1019,Carcass Group Box 4,NA,NA,NA,NA,NA,NA,NA,NA,Fish dissected 2015 to 2016-02-24,10
BCA13A,carcass,frozen -20,NA,UBC Hunt Lab,-20 Freezer B1019,Carcass Group Box 4,NA,NA,NA,NA,NA,NA,NA,NA,Fish dissected 2015 to 2016-02-24,13
BCA14A,carcass,frozen -20,NA,UBC Hunt Lab,-20 Freezer B1019,Carcass Group Box 4,NA,NA,NA,NA,NA,NA,NA,NA,Fish dissected 2015 to 2016-02-24,14
BCA15A,carcass,frozen -20,NA,UBC Hunt Lab,-20 Freezer B1019,Carcass Group Box 4,NA,NA,NA,NA,NA,NA,NA,NA,Fish dissected 2015 to 2016-02-24,15
BCA1A,carcass,frozen -20,NA,UBC Hunt Lab,-20 Freezer B1019,Carcass Group Box 4,NA,NA,NA,NA,NA,NA,NA,NA,Fish dissected 2015 to 2016-02-24,1
BCA24A,carcass,frozen -20,NA,UBC Hunt Lab,-20 Freezer B1019,Carcass Group Box 4,NA,NA,NA,NA,NA,NA,NA,NA,Fish dissected 2015 to 2016-02-24,24
BCA3A,carcass,frozen -20,NA,UBC Hunt Lab,-20 Freezer B1019,Carcass Group Box 4,NA,NA,NA,NA,NA,NA,NA,NA,Fish dissected 2015 to 2016-02-24,3
BCA5A,carcass,frozen -20,NA,UBC Hunt Lab,-20 Freezer B1019,Carcass Group Box 4,NA,NA,NA,NA,NA,NA,NA,NA,Fish dissected 2015 to 2016-02-24,5
BCA6A,carcass,frozen -20,NA,UBC Hunt Lab,-20 Freezer B1019,Carcass Group Box 4,NA,NA,NA,NA,NA,NA,NA,NA,Fish dissected 2015 to 2016-02-24,6
BCA9A,carcass,frozen -20,NA,UBC Hunt Lab,-20 Freezer B1019,Carcass Group Box 4,NA,NA,NA,NA,NA,NA,NA,NA,Fish dissected 2015 to 2016-02-24,9
BCA18A,carcass,frozen -20,NA,UBC Hunt Lab,-20 Freezer B1019,Carcass Group Box 4,NA,NA,NA,NA,NA,NA,NA,NA,Fish dissected 2015 to 2016-02-24,18
BCA48,carcass,frozen -20,2017-12-05,UBC Hunt Lab,-20 Freezer B1019,Carcass Group Box 6,NA,NA,2017-12-05,UBC Hunt Lab,NA,2017-12-05,NA,NA,NA,48
BCA56,carcass,frozen -20,2017-12-05,UBC Hunt Lab,-20 Freezer B1019,Carcass Group Box 6,NA,NA,2017-12-05,UBC Hunt Lab,NA,2017-12-05,NA,NA,NA,56
BCA57,carcass,frozen -20,2017-12-05,UBC Hunt Lab,-20 Freezer B1019,Carcass Group Box 6,NA,NA,2017-12-05,UBC Hunt Lab,NA,2017-12-05,NA,NA,NA,57
BCA58,carcass,frozen -20,2017-12-05,UBC Hunt Lab,-20 Freezer B1019,Carcass Group Box 6,NA,NA,2017-12-05,UBC Hunt Lab,NA,2017-12-05,NA,NA,NA,58
BCA59,carcass,frozen -20,2017-12-05,UBC Hunt Lab,-20 Freezer B1019,Carcass Group Box 6,NA,NA,2017-12-05,UBC Hunt Lab,NA,2017-12-05,NA,NA,NA,59
BCA60,carcass,frozen -20,2017-12-05,UBC Hunt Lab,-20 Freezer B1019,Carcass Group Box 6,NA,NA,2017-12-05,UBC Hunt Lab,NA,2017-12-05,NA,NA,NA,60
BCA61,carcass,frozen -20,2017-12-05,UBC Hunt Lab,-20 Freezer B1019,Carcass Group Box 6,NA,NA,2017-12-05,UBC Hunt Lab,NA,2017-12-05,NA,NA,NA,61
BCA62,carcass,frozen -20,2017-12-05,UBC Hunt Lab,-20 Freezer B1019,Carcass Group Box 6,NA,NA,2017-12-05,UBC Hunt Lab,NA,2017-12-05,NA,NA,NA,62
BCA63,carcass,frozen -20,2017-12-05,UBC Hunt Lab,-20 Freezer B1019,Carcass Group Box 6,NA,NA,2017-12-05,UBC Hunt Lab,NA,2017-12-05,NA,NA,NA,63
BCA64,carcass,frozen -20,2017-12-05,UBC Hunt Lab,-20 Freezer B1019,Carcass Group Box 6,NA,NA,2017-12-05,UBC Hunt Lab,NA,2017-12-05,NA,NA,NA,64
BCA65,carcass,frozen -20,2017-12-05,UBC Hunt Lab,-20 Freezer B1019,Carcass Group Box 6,NA,NA,2017-12-05,UBC Hunt Lab,NA,2017-12-05,NA,NA,NA,65
BCA66,carcass,frozen -20,2017-12-05,UBC Hunt Lab,-20 Freezer B1019,Carcass Group Box 6,NA,NA,2017-12-05,UBC Hunt Lab,NA,2017-12-05,NA,NA,NA,66
BCA67,carcass,frozen -20,2017-12-05,UBC Hunt Lab,-20 Freezer B1019,Carcass Group Box 6,NA,NA,2017-12-05,UBC Hunt Lab,NA,2017-12-05,NA,NA,NA,67
BCA68,carcass,frozen -20,2017-12-05,UBC Hunt Lab,-20 Freezer B1019,Carcass Group Box 6,NA,NA,2017-12-05,UBC Hunt Lab,NA,2017-12-05,NA,NA,NA,68
