ufn,lab_count_motiles,cm_lab,cpaf_lab,caf_lab,cgf_lab,lgf_lab,laf_lab,lpaf_lab,lpam_lab,lam_lab,ucal_lab,ulep_lab
U07,0,0,0,0,0,0,0,0,0,0,0,0
U10,0,0,0,0,0,0,0,0,0,0,0,0
U16,0,0,0,0,0,0,0,0,0,0,0,0
U17,0,0,0,0,0,0,0,0,0,0,0,0
U19,0,0,0,0,0,0,0,0,0,0,0,0
U20,2,2,0,0,0,0,0,0,0,0,0,0
U21,0,0,0,0,0,0,0,0,0,0,0,0
U25,0,0,0,0,0,0,0,0,0,0,0,0
U26,2,0,0,1,0,1,0,0,0,0,0,0
U27,2,1,0,0,0,1,0,0,0,0,0,0
U28,1,0,0,0,0,1,0,0,0,0,0,0
U29,1,1,0,0,0,0,0,0,0,0,0,0
U30,1,0,0,0,0,1,0,0,0,0,0,0
U31,0,0,0,0,0,0,0,0,0,0,0,0
U35,0,0,0,0,0,0,0,0,0,0,0,0
U37,0,0,0,0,0,0,0,0,0,0,0,0
U38,2,0,0,1,0,0,0,0,1,0,0,0
U40,0,0,0,0,0,0,0,0,0,0,0,0
U42,0,0,0,0,0,0,0,0,0,0,0,0
U43,0,0,0,0,0,0,0,0,0,0,0,0
U45,0,0,0,0,0,0,0,0,0,0,0,0
U46,0,0,0,0,0,0,0,0,0,0,0,0
U47,3,0,1,0,0,2,0,0,0,0,0,0
U48,3,1,0,0,0,2,0,0,0,0,0,0
U49,2,0,0,0,0,2,0,0,0,0,0,0
U50,4,0,0,0,0,4,0,0,0,0,0,0
U51,0,0,0,0,0,0,0,0,0,0,0,0
U52,2,0,0,0,0,2,0,0,0,0,0,0
U53,1,0,0,0,0,1,0,0,0,0,0,0
U54,1,0,0,0,0,1,0,0,0,0,0,0
U55,0,0,0,0,0,0,0,0,0,0,0,0
U56,0,0,0,0,0,0,0,0,0,0,0,0
U57,1,0,0,1,0,0,0,0,0,0,0,0
U58,0,0,0,0,0,0,0,0,0,0,0,0
U59,0,0,0,0,0,0,0,0,0,0,0,0
U60,3,2,1,0,0,0,0,0,0,0,0,0
U61,3,2,0,0,0,1,0,0,0,0,0,0
U62,3,0,1,0,0,2,0,0,0,0,0,0
U63,2,0,0,0,0,2,0,0,0,0,0,0
U64,3,2,0,1,0,0,0,0,0,0,0,0
U65,1,1,0,0,0,0,0,0,0,0,0,0
U66,1,0,0,0,0,1,0,0,0,0,0,0
U68,1,0,1,0,0,0,0,0,0,0,0,0
U69,0,0,0,0,0,0,0,0,0,0,0,0
U70,0,0,0,0,0,0,0,0,0,0,0,0
U71,4,1,2,0,0,1,0,0,0,0,0,0
U72,1,1,0,0,0,0,0,0,0,0,0,0
U73,3,0,1,0,0,2,0,0,0,0,0,0
U74,0,0,0,0,0,0,0,0,0,0,0,0
U75,0,0,0,0,0,0,0,0,0,0,0,0
U76,0,0,0,0,0,0,0,0,0,0,0,0
U77,0,0,0,0,0,0,0,0,0,0,0,0
U78,0,0,0,0,0,0,0,0,0,0,0,0
U79,1,0,0,0,1,0,0,0,0,0,0,0
U80,0,0,0,0,0,0,0,0,0,0,0,0
U81,2,2,0,0,0,0,0,0,0,0,0,0
U82,2,1,1,0,0,0,0,0,0,0,0,0
U83,0,0,0,0,0,0,0,0,0,0,0,0
U84,0,0,0,0,0,0,0,0,0,0,0,0
U85,0,0,0,0,0,0,0,0,0,0,0,0
U86,1,0,0,0,0,0,0,0,1,0,0,0
U87,0,0,0,0,0,0,0,0,0,0,0,0
U88,1,0,0,0,0,0,0,0,0,0,1,0
U89,0,0,0,0,0,0,0,0,0,0,0,0
U90,0,0,0,0,0,0,0,0,0,0,0,0
U91,0,0,0,0,0,0,0,0,0,0,0,0
U92,0,0,0,0,0,0,0,0,0,0,0,0
U93,0,0,0,0,0,0,0,0,0,0,0,0
U94,0,0,0,0,0,0,0,0,0,0,0,0
U95,2,1,1,0,0,0,0,0,0,0,0,0
U96,0,0,0,0,0,0,0,0,0,0,0,0
U97,3,2,1,0,0,0,0,0,0,0,0,0
U98,0,0,0,0,0,0,0,0,0,0,0,0
U99,0,0,0,0,0,0,0,0,0,0,0,0
U100,4,2,2,0,0,0,0,0,0,0,0,0
U101,1,0,0,0,1,0,0,0,0,0,0,0
U102,1,1,0,0,0,0,0,0,0,0,0,0
U103,0,0,0,0,0,0,0,0,0,0,0,0
U104,2,1,1,0,0,0,0,0,0,0,0,0
U105,0,0,0,0,0,0,0,0,0,0,0,0
U106,1,0,1,0,0,0,0,0,0,0,0,0
U107,2,1,1,0,0,0,0,0,0,0,0,0
U108,2,0,2,0,0,0,0,0,0,0,0,0
U109,1,0,1,0,0,0,0,0,0,0,0,0
U111,0,0,0,0,0,0,0,0,0,0,0,0
U112,0,0,0,0,0,0,0,0,0,0,0,0
U113,2,0,2,0,0,0,0,0,0,0,0,0
U114,0,0,0,0,0,0,0,0,0,0,0,0
U115,1,0,1,0,0,0,0,0,0,0,0,0
U116,2,1,0,0,0,0,0,0,1,0,0,0
U117,0,0,0,0,0,0,0,0,0,0,0,0
U118,0,0,0,0,0,0,0,0,0,0,0,0
U119,2,2,0,0,0,0,0,0,0,0,0,0
U120,0,0,0,0,0,0,0,0,0,0,0,0
U121,0,0,0,0,0,0,0,0,0,0,0,0
U122,0,0,0,0,0,0,0,0,0,0,0,0
U123,1,0,1,0,0,0,0,0,0,0,0,0
U124,0,0,0,0,0,0,0,0,0,0,0,0
U125,0,0,0,0,0,0,0,0,0,0,0,0
U126,0,0,0,0,0,0,0,0,0,0,0,0
U127,0,0,0,0,0,0,0,0,0,0,0,0
U128,0,0,0,0,0,0,0,0,0,0,0,0
U129,1,1,0,0,0,0,0,0,0,0,0,0
U130,1,0,1,0,0,0,0,0,0,0,0,0
U133,0,0,0,0,0,0,0,0,0,0,0,0
U134,0,0,0,0,0,0,0,0,0,0,0,0
U135,1,1,0,0,0,0,0,0,0,0,0,0
U136,0,0,0,0,0,0,0,0,0,0,0,0
U137,0,0,0,0,0,0,0,0,0,0,0,0
U138,1,1,0,0,0,0,0,0,0,0,0,0
U139,1,0,0,1,0,0,0,0,0,0,0,0
U140,0,0,0,0,0,0,0,0,0,0,0,0
U141,1,0,1,0,0,0,0,0,0,0,0,0
U142,0,0,0,0,0,0,0,0,0,0,0,0
U143,0,0,0,0,0,0,0,0,0,0,0,0
U144,1,0,1,0,0,0,0,0,0,0,0,0
U145,0,0,0,0,0,0,0,0,0,0,0,0
U146,2,1,1,0,0,0,0,0,0,0,0,0
U151,0,0,0,0,0,0,0,0,0,0,0,0
U152,1,1,0,0,0,0,0,0,0,0,0,0
U153,0,0,0,0,0,0,0,0,0,0,0,0
U154,0,0,0,0,0,0,0,0,0,0,0,0
U155,2,2,0,0,0,0,0,0,0,0,0,0
U156,1,0,0,0,0,0,0,0,1,0,0,0
U158,1,0,1,0,0,0,0,0,0,0,0,0
U159,0,0,0,0,0,0,0,0,0,0,0,0
U160,0,0,0,0,0,0,0,0,0,0,0,0
U161,0,0,0,0,0,0,0,0,0,0,0,0
U162,0,0,0,0,0,0,0,0,0,0,0,0
U163,0,0,0,0,0,0,0,0,0,0,0,0
U164,2,1,0,0,1,0,0,0,0,0,0,0
U165,0,0,0,0,0,0,0,0,0,0,0,0
U166,0,0,0,0,0,0,0,0,0,0,0,0
U167,1,0,0,0,0,0,0,0,1,0,0,0
U168,1,0,1,0,0,0,0,0,0,0,0,0
U169,0,0,0,0,0,0,0,0,0,0,0,0
U170,2,1,1,0,0,0,0,0,0,0,0,0
U171,0,0,0,0,0,0,0,0,0,0,0,0
U172,0,0,0,0,0,0,0,0,0,0,0,0
U174,0,0,0,0,0,0,0,0,0,0,0,0
U175,0,0,0,0,0,0,0,0,0,0,0,0
U176,0,0,0,0,0,0,0,0,0,0,0,0
U177,0,0,0,0,0,0,0,0,0,0,0,0
U178,0,0,0,0,0,0,0,0,0,0,0,0
U179,3,3,0,0,0,0,0,0,0,0,0,0
U180,0,0,0,0,0,0,0,0,0,0,0,0
U181,2,1,0,0,1,0,0,0,0,0,0,0
U182,1,1,0,0,0,0,0,0,0,0,0,0
U183,0,0,0,0,0,0,0,0,0,0,0,0
