seine_id,survey_id,set_number,set_type,time_searching,set_time,lat,lon,so_taken,so_total,pi_taken,pi_total,cu_taken,cu_total,co_taken,co_total,he_taken,he_total,ck_taken,ck_total,preservation_status,collection_protocol,fish_retained,seine_comments,survey_date,site_id,region,zone,site_name,crew,precip,cloud_cover,sea_state,wind_speed,wind_direction,tide_state,survey_time_start,survey_time_end,ctd_cast_id,zoop_sample_id,secchi,net_sets,survey_type,survey_comments,sampling_week
DN200,DE100,3,targeted,40,11:40:00,49.9613,-124.747,30,NA,0,0,10,NA,1,NA,2,NA,NA,NA,1,SEMSP,Yes,NA,2015-05-12,D01,DI,E,Hurtado Point,"Carolyn Knapper, Kristi Inman, Brett Johnson, Ben Millard-Martin, Luke Rogers",none,25,3,10-15,NW,NA,NA,NA,NA,NA,8.7,3,standard,NA,May 12
DN201,DE101,1,targeted,NA,09:49:00,50.07902,-124.8509,30,400,0,0,10,40,0,0,0,0,NA,NA,1,SEMSP,Yes,NA,2015-05-13,D02,DI,E,Kinghorn Island,"Carolyn Knapper, Brett Johnson, Ben Millard-Martin, Luke Rogers",none,100,0,0,NA,NA,NA,NA,NA,NA,12.1,1,standard,NA,May 12
DN202,DE102,1,targeted,NA,07:38:00,49.99932,-125.1395,30,300,0,0,0,0,0,0,7,10,NA,NA,1,SEMSP,Yes,NA,2015-05-14,D04,DI,W,Fransisco Point,"Carolyn Knapper, Ben Millard-Martin, Luke Rogers",none,100,1,0.1-5,NW,NA,NA,NA,NA,NA,8.5,1,standard,NA,May 12
DN203,DE103,1,targeted,NA,07:50:00,50.16142,-124.8842,30,200,1,1,5,6,0,0,0,0,NA,NA,1,SEMSP,Yes,NA,2015-05-15,D05,DI,E,Lewis Channel,"Carolyn Knapper, Brett Johnson, Ben Millard-Martin, Luke Rogers",none,25,0,0,NA,NA,NA,NA,NA,QPK1005,10.3,1,standard,NA,May 12
DN204,DE104,1,targeted,NA,10:21:00,50.08007,-124.8511,30,300,0,0,10,10,0,0,1,1,NA,NA,1,SEMSP,Yes,NA,2015-05-15,D02,DI,E,Kinghorn Island,"Carolyn Knapper, Brett Johnson, Ben Millard-Martin, Luke Rogers",none,25,0,0,NA,NA,NA,NA,NA,QPK1007,NA,1,standard,NA,May 12
DN205,DE105,1,targeted,NA,13:28:00,50.11842,-125.07512,30,40,0,0,10,20,0,0,2,2,NA,NA,1,SEMSP,Yes,NA,2015-05-15,D03,DI,E,Sutil Narrows,"Carolyn Knapper, Brett Johnson, Ben Millard-Martin, Luke Rogers",none,25,1,0.1-5,NW,NA,NA,NA,NA,QPK1009,7,1,standard,NA,May 12
DN206,DE106,1,targeted,NA,08:00:00,50.08005,-125.2468,30,600,2,NA,10,1000,4,NA,0,0,NA,NA,1,SEMSP,Yes,NA,2015-05-16,D06,DI,W,Gowlland Harbour,"Carolyn Knapper, Brett Johnson, Luke Rogers",none,0,0,5-10,NW,NA,NA,NA,NA,QPK1011,NA,1,standard,NA,May 19
DN207,DE107,1,targeted,NA,12:30:00,50.16412,-125.1602,30,500,1,NA,10,300,1,NA,10,10,NA,NA,1,SEMSP,Yes,NA,2015-05-16,D07,DI,C,Hoskyn Channel,"Carolyn Knapper, Brett Johnson, Luke Rogers",none,0,1,0.1-5,SW,NA,NA,NA,NA,QPK1012,5,1,standard,NA,May 19
DN208,DE108,1,targeted,NA,09:00:00,50.08123,-124.8549,8,8,0,0,10,90,0,0,0,0,NA,NA,1,SEMSP,Yes,NA,2015-05-17,D02,DI,E,Kinghorn Island,"Carolyn Knapper, Brett Johnson, Luke Rogers",none,100,0,0.1-5,S,NA,NA,NA,NA,QPK1013,11.9,1,standard,NA,May 19
DN209,DE109,1,targeted,NA,07:30:00,50.11405,-125.0787,30,70,0,0,1,10,0,0,2,2,NA,NA,1,SEMSP,Yes,NA,2015-05-18,D03,DI,E,Sutil Narrows,"Carolyn Knapper, Brett Johnson, Luke Rogers, Midoli Bresch",none,0,1,0.1-5,NW,NA,NA,NA,NA,QPK1014,6.6,1,standard,First problems with flowmeter observed: intermittent spinning.,May 19
DN210,DE110,1,targeted,NA,11:30:00,50.1659,-124.8888,6,6,1,1,10,30,0,0,0,0,NA,NA,1,SEMSP,Yes,NA,2015-05-18,D05,DI,E,Lewis Channel,"Carolyn Knapper, Brett Johnson, Luke Rogers, Midoli Bresch",none,0,1,0.1-5,NW,NA,NA,NA,NA,QPK1015,NA,1,standard,NA,May 19
DN211,DE111,1,targeted,NA,10:30:00,50.34273,-125.0841,30,200,2,NA,10,100,2,6,5,10,NA,NA,1,SEMSP,Yes,"Fish moved by jug from net to buckets (30 sockeye in one 5 gallon pale; 50 total chum, pink, herring, coho in a second five gallon pale and two aquaria) to avoid net collapse on fish during onshore wind.",2015-05-19,D08,DI,W,Calm Channel,"Brett Johnson, Luke Rogers, Kristi Inman, Samantha Crowley",none,0,1,5-10,NW,NA,NA,NA,NA,QPK1016,6.1,1,standard,NA,May 19
DN212,DE112,1,targeted,NA,08:00:00,50.30787,-125.3293,30,200,0,0,10,30,1,1,10,30,NA,NA,1,SEMSP,Yes,NA,2015-05-20,D09,DI,C,Okisollo Channel,"Brett Johnson, Luke Rogers, Kristi Inman, Samantha Crowley",none,0,1,0.1-5,E,NA,NA,NA,NA,QPK1017,11.4,1,standard,Salmon Farms: Brent Island NA; Venture Point 12 pens stocked; Okisolo Channel no nets in pens; Barnes Bay no nets in pens.,May 19
