survey_id,line_out_depth,temperature,salinity,ysi_gather_lat,ysi_gather_long
DE100,0,13.9,26.9,NA,NA
DE100,1,13.2,26.9,NA,NA
DE101,0,14.6,26.1,NA,NA
DE101,1,14.6,26.1,NA,NA
DE102,0,13.5,27.1,NA,NA
DE102,1,13.5,27.2,NA,NA
DE103,0,14.8,26.3,NA,NA
DE104,0,15.2,25.7,NA,NA
DE105,0,15.3,27,NA,NA
DE105,1,14.5,27.2,NA,NA
DE103,1,14.8,26.3,NA,NA
DE104,1,14.9,25.8,NA,NA
DE107,0,14.4,27.4,NA,NA
DE106,0,10.6,28.7,NA,NA
DE107,1,13.8,27.3,NA,NA
DE106,1,10.6,28.8,NA,NA
DE108,0,16,26.2,NA,NA
DE108,1,15.8,26.3,NA,NA
DE109,0,14.9,27.1,NA,NA
DE110,0,17,26.2,NA,NA
DE109,1,14.8,27.1,NA,NA
DE110,1,16.3,26.2,NA,NA
DE111,0,14,24.1,NA,NA
DE111,1,13.4,24.6,NA,NA
DE112,0,11,28.7,NA,NA
DE112,1,10.8,28.7,NA,NA
DE115,0,15.7,27.8,NA,NA
DE114,0,16.1,25.9,NA,NA
DE115,1,15.6,27.8,NA,NA
DE114,1,15.9,25.1,NA,NA
DE116,0,14.6,25.2,NA,NA
DE117,0,10.6,28.8,NA,NA
DE116,1,14.6,25.4,NA,NA
DE117,1,10.4,28.8,NA,NA
DE120,0,10.6,27.3,NA,NA
DE121,0,11.1,29.2,NA,NA
DE120,1,10.6,29.2,NA,NA
DE121,1,11.1,29.2,NA,NA
DE124,0,15.2,26,NA,NA
DE124,1,15.2,26,NA,NA
DE128,0,11.2,26.7,NA,NA
DE130,0,11.5,28.9,NA,NA
DE128,1,10.8,28.1,NA,NA
DE130,1,11.4,29,NA,NA
DE137,0,12.3,23.4,NA,NA
DE139,0,12.6,28.7,NA,NA
DE137,1,11.4,26.3,NA,NA
DE139,1,11.7,28.8,NA,NA
DE140,0,11.2,28.7,NA,NA
DE140,1,11.1,28.8,NA,NA
DE143,0,17.7,23.3,NA,NA
DE145,0,18,23.7,NA,NA
DE145,1,17.7,24,NA,NA
DE143,1,17.9,23.5,NA,NA
DE149,0,10.4,28.6,NA,NA
DE150,0,11.1,28.9,NA,NA
DE151,0,11.7,28.6,NA,NA
DE149,1,10.3,28.6,NA,NA
DE150,1,10.9,29,NA,NA
DE151,1,11.3,28.8,NA,NA
DE152,0,10.1,29,NA,NA
DE153,0,10.9,29.1,NA,NA
DE154,0,11.8,28.6,NA,NA
DE152,1,10.2,28.9,NA,NA
DE153,1,10.8,29.2,NA,NA
DE154,1,11.6,28.7,NA,NA
DE158,0,12.4,28.1,NA,NA
DE155,0,16.8,19,NA,NA
DE155,1,16.7,19.5,NA,NA
DE158,1,12.1,28.2,NA,NA
DE163,0,18.4,25.4,NA,NA
DE160,0,10.6,28.4,NA,NA
DE162,0,11.9,28.4,NA,NA
DE163,1,18,25.4,NA,NA
DE160,1,10.7,28.4,NA,NA
DE162,1,11.7,28.4,NA,NA
DE169,0,16.8,26.6,NA,NA
DE168,0,11.7,28.5,NA,NA
DE169,1,16.5,26.8,NA,NA
DE168,1,11.7,28.6,NA,NA
